Ref,Val,Package,PosX,PosY,Rot,Side
"R34","84.5 1%","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",45.250000,-14.000000,270.000000,top
"R35","84.5 1%","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",49.800000,-14.112500,270.000000,top
"R36","84.5 1%","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",54.750000,-14.000000,270.000000,top
"R37","84.5 1%","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",59.200000,-14.000000,270.000000,top
"R38","84.5 1%","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",64.200000,-14.000000,270.000000,top
"R39","84.5 1%","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",68.750000,-14.000000,270.000000,top
"R40","84.5 1%","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",73.800000,-14.000000,270.000000,top
"R41","84.5 1%","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",78.250000,-13.912500,270.000000,top
"U1","KAQY214STLD","SOP-4_L3.9-W4.4-P2.54-LS7.0-BR",20.500000,-10.500000,270.000000,top
"U2","KAQY214STLD","SOP-4_L3.9-W4.4-P2.54-LS7.0-BR",16.000000,-10.500000,270.000000,top
"U3","KAQY214STLD","SOP-4_L3.9-W4.4-P2.54-LS7.0-BR",7.000000,-10.500000,270.000000,top
"U4","KAQY214STLD","SOP-4_L3.9-W4.4-P2.54-LS7.0-BR",11.500000,-10.500000,270.000000,top
"U5","KAQY214STLD","SOP-4_L3.9-W4.4-P2.54-LS7.0-BR",20.500000,10.500000,90.000000,top
"U6","KAQY214STLD","SOP-4_L3.9-W4.4-P2.54-LS7.0-BR",7.000000,10.500000,90.000000,top
"U7","KAQY214STLD","SOP-4_L3.9-W4.4-P2.54-LS7.0-BR",11.500000,10.500000,90.000000,top
"U8","KAQY214STLD","SOP-4_L3.9-W4.4-P2.54-LS7.0-BR",16.000000,10.500000,90.000000,top
"U9","AW9523BTQR","TQFN-24_L4.0-W4.0-P0.50-TL-EP",86.000000,9.000000,270.000000,top
"U10","KAQY214STLD","SOP-4_L3.9-W4.4-P2.54-LS7.0-BR",27.500000,8.000000,90.000000,top
"U11","KAQY214STLD","SOP-4_L3.9-W4.4-P2.54-LS7.0-BR",32.000000,8.000000,90.000000,top
"U12","KAQY214STLD","SOP-4_L3.9-W4.4-P2.54-LS7.0-BR",37.000000,8.000000,90.000000,top
"U13","KAQY214STLD","SOP-4_L3.9-W4.4-P2.54-LS7.0-BR",41.500000,8.000000,90.000000,top
"U14","KAQY214STLD","SOP-4_L3.9-W4.4-P2.54-LS7.0-BR",46.500000,8.000000,90.000000,top
"U15","KAQY214STLD","SOP-4_L3.9-W4.4-P2.54-LS7.0-BR",51.000000,8.000000,90.000000,top
"U16","KAQY214STLD","SOP-4_L3.9-W4.4-P2.54-LS7.0-BR",56.000000,8.000000,90.000000,top
"U17","KAQY214STLD","SOP-4_L3.9-W4.4-P2.54-LS7.0-BR",60.500000,8.000000,90.000000,top
"U18","KAQY214STLD","SOP-4_L3.9-W4.4-P2.54-LS7.0-BR",65.500000,8.000000,90.000000,top
"U19","KAQY214STLD","SOP-4_L3.9-W4.4-P2.54-LS7.0-BR",70.000000,8.000000,90.000000,top
"U20","KAQY214STLD","SOP-4_L3.9-W4.4-P2.54-LS7.0-BR",75.000000,8.000000,90.000000,top
"U21","KAQY214STLD","SOP-4_L3.9-W4.4-P2.54-LS7.0-BR",79.600000,8.000000,90.000000,top
"U22","KAQY214STLD","SOP-4_L3.9-W4.4-P2.54-LS7.0-BR",27.500000,-8.000000,270.000000,top
"U23","KAQY214STLD","SOP-4_L3.9-W4.4-P2.54-LS7.0-BR",32.000000,-8.000000,270.000000,top
"U24","KAQY214STLD","SOP-4_L3.9-W4.4-P2.54-LS7.0-BR",37.000000,-8.000000,270.000000,top
"U25","KAQY214STLD","SOP-4_L3.9-W4.4-P2.54-LS7.0-BR",41.500000,-8.000000,270.000000,top
"U26","KAQY214STLD","SOP-4_L3.9-W4.4-P2.54-LS7.0-BR",46.500000,-8.000000,270.000000,top
"U27","KAQY214STLD","SOP-4_L3.9-W4.4-P2.54-LS7.0-BR",51.000000,-8.000000,270.000000,top
"U28","KAQY214STLD","SOP-4_L3.9-W4.4-P2.54-LS7.0-BR",56.000000,-8.000000,270.000000,top
"U29","KAQY214STLD","SOP-4_L3.9-W4.4-P2.54-LS7.0-BR",60.500000,-8.000000,270.000000,top
"U30","KAQY214STLD","SOP-4_L3.9-W4.4-P2.54-LS7.0-BR",65.500000,-8.000000,270.000000,top
"U31","KAQY214STLD","SOP-4_L3.9-W4.4-P2.54-LS7.0-BR",70.000000,-8.000000,270.000000,top
"U32","KAQY214STLD","SOP-4_L3.9-W4.4-P2.54-LS7.0-BR",75.000000,-8.000000,270.000000,top
"U33","KAQY214STLD","SOP-4_L3.9-W4.4-P2.54-LS7.0-BR",79.500000,-8.000000,270.000000,top
